,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
0,0.3,0.9999,0.01,0.995,0.01,5000.0,100.0,1.0,0.0002,1.3043787909937146e-13,0.0
1,0.3,0.9999,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
2,0.3,0.9999,0.01,0.9,0.01,5000.0,100.0,1.0,0.0002,1.6313501853428272e-231,0.0
3,0.3,0.99,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
4,0.3,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
5,0.3,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
6,0.3,0.97,0.01,0.995,0.01,5000.0,100.0,4245.0,0.849,1.3043787909937146e-13,0.93
7,0.3,0.97,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
8,0.3,0.97,0.01,0.9,0.01,5000.0,100.0,1.0,0.0002,1.6313501853428272e-231,0.0
9,0.3,0.95,0.01,0.995,0.01,5000.0,100.0,4114.0,0.8228,1.3043787909937146e-13,0.88
10,0.3,0.95,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
11,0.3,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
12,0.3,0.9,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
13,0.3,0.9,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
14,0.3,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
15,0.2,0.9999,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
16,0.2,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
17,0.2,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
18,0.2,0.99,0.01,0.995,0.01,5000.0,100.0,4242.0,0.8484,1.3043787909937146e-13,0.97
19,0.2,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
20,0.2,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
21,0.2,0.97,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
22,0.2,0.97,0.01,0.99,0.01,5000.0,100.0,4496.0,0.8992,1.4995915609979539e-24,0.92
23,0.2,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
