,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
0,0.3,0.9999,0.01,0.995,0.01,5000.0,100.0,1654.0,0.3308,1.3043787909937146e-13,0.45
1,0.3,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
2,0.3,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
3,0.3,0.99,0.01,0.995,0.01,5000.0,100.0,2932.0,0.5864,1.3043787909937146e-13,0.73
4,0.3,0.99,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
5,0.3,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
6,0.3,0.97,0.01,0.995,0.01,5000.0,100.0,2689.0,0.5378,1.3043787909937146e-13,0.74
7,0.3,0.97,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
8,0.3,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
9,0.3,0.95,0.01,0.995,0.01,5000.0,100.0,2564.0,0.5128,1.3043787909937146e-13,0.46
10,0.3,0.95,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
11,0.3,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
12,0.3,0.9,0.01,0.995,0.01,5000.0,100.0,1930.0,0.386,1.3043787909937146e-13,0.36
13,0.3,0.9,0.01,0.99,0.01,5000.0,100.0,1195.0,0.239,1.4995915609979539e-24,0.59
14,0.3,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
15,0.2,0.9999,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
16,0.2,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
17,0.2,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
18,0.2,0.99,0.01,0.995,0.01,5000.0,100.0,2961.0,0.5922,1.3043787909937146e-13,0.7
19,0.2,0.99,0.01,0.99,0.01,5000.0,100.0,3159.0,0.6318,1.4995915609979539e-24,0.52
