,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
55,0.05,0.95,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
56,0.05,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
57,0.05,0.9,0.01,0.995,0.01,5000.0,100.0,356.0,0.0712,1.3043787909937146e-13,0.18
58,0.05,0.9,0.01,0.99,0.01,5000.0,100.0,837.0,0.1674,1.4995915609979539e-24,0.28
59,0.05,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
60,0.01,0.9999,0.01,0.995,0.01,5000.0,100.0,470.0,0.094,1.3043787909937146e-13,0.06
61,0.01,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
62,0.01,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
63,0.01,0.99,0.01,0.995,0.01,5000.0,100.0,507.0,0.1014,1.3043787909937146e-13,0.11
64,0.01,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
65,0.01,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
66,0.01,0.97,0.01,0.995,0.01,5000.0,100.0,125.0,0.025,1.3043787909937146e-13,0.04
67,0.01,0.97,0.01,0.99,0.01,5000.0,100.0,379.0,0.0758,1.4995915609979539e-24,0.05
68,0.01,0.97,0.01,0.9,0.01,5000.0,100.0,1.0,0.0002,1.6313501853428272e-231,0.0
69,0.01,0.95,0.01,0.995,0.01,5000.0,100.0,209.0,0.0418,1.3043787909937146e-13,0.03
70,0.01,0.95,0.01,0.99,0.01,5000.0,100.0,228.0,0.0456,1.4995915609979539e-24,0.08
71,0.01,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
72,0.01,0.9,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
73,0.01,0.9,0.01,0.99,0.01,5000.0,100.0,355.0,0.071,1.4995915609979539e-24,0.07
74,0.01,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
75,0.005,0.9999,0.01,0.995,0.01,5000.0,100.0,896.0,0.1792,1.3043787909937146e-13,0.23
76,0.005,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
77,0.005,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
78,0.005,0.99,0.01,0.995,0.01,5000.0,100.0,250.0,0.05,1.3043787909937146e-13,0.08
79,0.005,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
80,0.005,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
81,0.005,0.97,0.01,0.995,0.01,5000.0,100.0,524.0,0.1048,1.3043787909937146e-13,0.08
82,0.005,0.97,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
83,0.005,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
84,0.005,0.95,0.01,0.995,0.01,5000.0,100.0,217.0,0.0434,1.3043787909937146e-13,0.03
85,0.005,0.95,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
86,0.005,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
87,0.005,0.9,0.01,0.995,0.01,5000.0,100.0,249.0,0.0498,1.3043787909937146e-13,0.05
88,0.005,0.9,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
89,0.005,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
