,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon
59,0.05,0.9,0.01,0.9,0.01,5000.0,100.0,2785.0,0.557,1.6313501853428272e-231
60,0.01,0.9999,0.01,0.995,0.01,5000.0,100.0,3142.0,0.6284,1.3043787909937146e-13
61,0.01,0.9999,0.01,0.99,0.01,5000.0,100.0,3224.0,0.6448,1.4995915609979539e-24
62,0.01,0.9999,0.01,0.9,0.01,5000.0,100.0,3414.0,0.6828,1.6313501853428272e-231
63,0.01,0.99,0.01,0.995,0.01,5000.0,100.0,3084.0,0.6168,1.3043787909937146e-13
64,0.01,0.99,0.01,0.99,0.01,5000.0,100.0,3226.0,0.6452,1.4995915609979539e-24
65,0.01,0.99,0.01,0.9,0.01,5000.0,100.0,3368.0,0.6736,1.6313501853428272e-231
66,0.01,0.97,0.01,0.995,0.01,5000.0,100.0,2990.0,0.598,1.3043787909937146e-13
67,0.01,0.97,0.01,0.99,0.01,5000.0,100.0,3313.0,0.6626,1.4995915609979539e-24
68,0.01,0.97,0.01,0.9,0.01,5000.0,100.0,3380.0,0.676,1.6313501853428272e-231
69,0.01,0.95,0.01,0.995,0.01,5000.0,100.0,2950.0,0.59,1.3043787909937146e-13
70,0.01,0.95,0.01,0.99,0.01,5000.0,100.0,3184.0,0.6368,1.4995915609979539e-24
71,0.01,0.95,0.01,0.9,0.01,5000.0,100.0,3427.0,0.6854,1.6313501853428272e-231
72,0.01,0.9,0.01,0.995,0.01,5000.0,100.0,1988.0,0.3976,1.3043787909937146e-13
73,0.01,0.9,0.01,0.99,0.01,5000.0,100.0,3006.0,0.6012,1.4995915609979539e-24
74,0.01,0.9,0.01,0.9,0.01,5000.0,100.0,3260.0,0.652,1.6313501853428272e-231
75,0.005,0.9999,0.01,0.995,0.01,5000.0,100.0,3114.0,0.6228,1.3043787909937146e-13
76,0.005,0.9999,0.01,0.99,0.01,5000.0,100.0,3276.0,0.6552,1.4995915609979539e-24
77,0.005,0.9999,0.01,0.9,0.01,5000.0,100.0,3410.0,0.682,1.6313501853428272e-231
78,0.005,0.99,0.01,0.995,0.01,5000.0,100.0,3022.0,0.6044,1.3043787909937146e-13
79,0.005,0.99,0.01,0.99,0.01,5000.0,100.0,3332.0,0.6664,1.4995915609979539e-24
80,0.005,0.99,0.01,0.9,0.01,5000.0,100.0,3362.0,0.6724,1.6313501853428272e-231
81,0.005,0.97,0.01,0.995,0.01,5000.0,100.0,2894.0,0.5788,1.3043787909937146e-13
82,0.005,0.97,0.01,0.99,0.01,5000.0,100.0,3258.0,0.6516,1.4995915609979539e-24
83,0.005,0.97,0.01,0.9,0.01,5000.0,100.0,3415.0,0.683,1.6313501853428272e-231
84,0.005,0.95,0.01,0.995,0.01,5000.0,100.0,2792.0,0.5584,1.3043787909937146e-13
85,0.005,0.95,0.01,0.99,0.01,5000.0,100.0,3269.0,0.6538,1.4995915609979539e-24
86,0.005,0.95,0.01,0.9,0.01,5000.0,100.0,3438.0,0.6876,1.6313501853428272e-231
87,0.005,0.9,0.01,0.995,0.01,5000.0,100.0,1667.0,0.3334,1.3043787909937146e-13
88,0.005,0.9,0.01,0.99,0.01,5000.0,100.0,2923.0,0.5846,1.4995915609979539e-24
89,0.005,0.9,0.01,0.9,0.01,5000.0,100.0,3379.0,0.6758,1.6313501853428272e-231
