,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
0,0.3,0.9999,0.01,0.995,0.01,5000.0,100.0,1217.0,0.2434,1.3043787909937146e-13,0.54
1,0.3,0.9999,0.01,0.99,0.01,5000.0,100.0,1309.0,0.2618,1.4995915609979539e-24,0.52
2,0.3,0.9999,0.01,0.9,0.01,5000.0,100.0,1333.0,0.2666,1.6313501853428272e-231,0.19
3,0.3,0.99,0.01,0.995,0.01,5000.0,100.0,3017.0,0.6034,1.3043787909937146e-13,0.58
4,0.3,0.99,0.01,0.99,0.01,5000.0,100.0,3064.0,0.6128,1.4995915609979539e-24,0.67
5,0.3,0.99,0.01,0.9,0.01,5000.0,100.0,3279.0,0.6558,1.6313501853428272e-231,0.71
6,0.3,0.97,0.01,0.995,0.01,5000.0,100.0,2883.0,0.5766,1.3043787909937146e-13,0.7
7,0.3,0.97,0.01,0.99,0.01,5000.0,100.0,2953.0,0.5906,1.4995915609979539e-24,0.78
8,0.3,0.97,0.01,0.9,0.01,5000.0,100.0,3099.0,0.6198,1.6313501853428272e-231,0.6
9,0.3,0.95,0.01,0.995,0.01,5000.0,100.0,2505.0,0.501,1.3043787909937146e-13,0.59
10,0.3,0.95,0.01,0.99,0.01,5000.0,100.0,2696.0,0.5392,1.4995915609979539e-24,0.63
11,0.3,0.95,0.01,0.9,0.01,5000.0,100.0,2683.0,0.5366,1.6313501853428272e-231,0.57
12,0.3,0.9,0.01,0.995,0.01,5000.0,100.0,1824.0,0.3648,1.3043787909937146e-13,0.47
13,0.3,0.9,0.01,0.99,0.01,5000.0,100.0,2056.0,0.4112,1.4995915609979539e-24,0.4
14,0.3,0.9,0.01,0.9,0.01,5000.0,100.0,2144.0,0.4288,1.6313501853428272e-231,0.3
15,0.2,0.9999,0.01,0.995,0.01,5000.0,100.0,1561.0,0.3122,1.3043787909937146e-13,0.17
16,0.2,0.9999,0.01,0.99,0.01,5000.0,100.0,1760.0,0.352,1.4995915609979539e-24,0.5
17,0.2,0.9999,0.01,0.9,0.01,5000.0,100.0,1550.0,0.31,1.6313501853428272e-231,0.21
18,0.2,0.99,0.01,0.995,0.01,5000.0,100.0,3037.0,0.6074,1.3043787909937146e-13,0.62
19,0.2,0.99,0.01,0.99,0.01,5000.0,100.0,3220.0,0.644,1.4995915609979539e-24,0.72
20,0.2,0.99,0.01,0.9,0.01,5000.0,100.0,3319.0,0.6638,1.6313501853428272e-231,0.74
21,0.2,0.97,0.01,0.995,0.01,5000.0,100.0,2867.0,0.5734,1.3043787909937146e-13,0.62
22,0.2,0.97,0.01,0.99,0.01,5000.0,100.0,3106.0,0.6212,1.4995915609979539e-24,0.69
23,0.2,0.97,0.01,0.9,0.01,5000.0,100.0,3189.0,0.6378,1.6313501853428272e-231,0.71
24,0.2,0.95,0.01,0.995,0.01,5000.0,100.0,2692.0,0.5384,1.3043787909937146e-13,0.6
25,0.2,0.95,0.01,0.99,0.01,5000.0,100.0,2721.0,0.5442,1.4995915609979539e-24,0.52
