,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
53,0.05,0.97,0.01,0.9,0.01,5000.0,100.0,3336.0,0.6672,1.6313501853428272e-231,0.68
54,0.05,0.95,0.01,0.995,0.01,5000.0,100.0,2994.0,0.5988,1.3043787909937146e-13,0.72
55,0.05,0.95,0.01,0.99,0.01,5000.0,100.0,3159.0,0.6318,1.4995915609979539e-24,0.65
56,0.05,0.95,0.01,0.9,0.01,5000.0,100.0,3318.0,0.6636,1.6313501853428272e-231,0.65
57,0.05,0.9,0.01,0.995,0.01,5000.0,100.0,2381.0,0.4762,1.3043787909937146e-13,0.38
58,0.05,0.9,0.01,0.99,0.01,5000.0,100.0,2581.0,0.5162,1.4995915609979539e-24,0.52
59,0.05,0.9,0.01,0.9,0.01,5000.0,100.0,2902.0,0.5804,1.6313501853428272e-231,0.54
60,0.01,0.9999,0.01,0.995,0.01,5000.0,100.0,1055.0,0.211,1.3043787909937146e-13,0.27
61,0.01,0.9999,0.01,0.99,0.01,5000.0,100.0,1106.0,0.2212,1.4995915609979539e-24,0.27
62,0.01,0.9999,0.01,0.9,0.01,5000.0,100.0,2016.0,0.4032,1.6313501853428272e-231,0.34
63,0.01,0.99,0.01,0.995,0.01,5000.0,100.0,3132.0,0.6264,1.3043787909937146e-13,0.66
64,0.01,0.99,0.01,0.99,0.01,5000.0,100.0,3297.0,0.6594,1.4995915609979539e-24,0.73
65,0.01,0.99,0.01,0.9,0.01,5000.0,100.0,3430.0,0.686,1.6313501853428272e-231,0.66
66,0.01,0.97,0.01,0.995,0.01,5000.0,100.0,2968.0,0.5936,1.3043787909937146e-13,0.63
67,0.01,0.97,0.01,0.99,0.01,5000.0,100.0,3265.0,0.653,1.4995915609979539e-24,0.6
68,0.01,0.97,0.01,0.9,0.01,5000.0,100.0,3392.0,0.6784,1.6313501853428272e-231,0.69
69,0.01,0.95,0.01,0.995,0.01,5000.0,100.0,2927.0,0.5854,1.3043787909937146e-13,0.72
70,0.01,0.95,0.01,0.99,0.01,5000.0,100.0,3243.0,0.6486,1.4995915609979539e-24,0.71
71,0.01,0.95,0.01,0.9,0.01,5000.0,100.0,3356.0,0.6712,1.6313501853428272e-231,0.72
72,0.01,0.9,0.01,0.995,0.01,5000.0,100.0,2223.0,0.4446,1.3043787909937146e-13,0.63
73,0.01,0.9,0.01,0.99,0.01,5000.0,100.0,3202.0,0.6404,1.4995915609979539e-24,0.54
74,0.01,0.9,0.01,0.9,0.01,5000.0,100.0,3308.0,0.6616,1.6313501853428272e-231,0.41
75,0.005,0.9999,0.01,0.995,0.01,5000.0,100.0,2207.0,0.4414,1.3043787909937146e-13,0.45
76,0.005,0.9999,0.01,0.99,0.01,5000.0,100.0,2344.0,0.4688,1.4995915609979539e-24,0.48
77,0.005,0.9999,0.01,0.9,0.01,5000.0,100.0,2413.0,0.4826,1.6313501853428272e-231,0.45
78,0.005,0.99,0.01,0.995,0.01,5000.0,100.0,3137.0,0.6274,1.3043787909937146e-13,0.71
79,0.005,0.99,0.01,0.99,0.01,5000.0,100.0,3330.0,0.666,1.4995915609979539e-24,0.7
80,0.005,0.99,0.01,0.9,0.01,5000.0,100.0,3411.0,0.6822,1.6313501853428272e-231,0.73
81,0.005,0.97,0.01,0.995,0.01,5000.0,100.0,2874.0,0.5748,1.3043787909937146e-13,0.62
82,0.005,0.97,0.01,0.99,0.01,5000.0,100.0,3338.0,0.6676,1.4995915609979539e-24,0.72
83,0.005,0.97,0.01,0.9,0.01,5000.0,100.0,3415.0,0.683,1.6313501853428272e-231,0.62
84,0.005,0.95,0.01,0.995,0.01,5000.0,100.0,2790.0,0.558,1.3043787909937146e-13,0.65
85,0.005,0.95,0.01,0.99,0.01,5000.0,100.0,3210.0,0.642,1.4995915609979539e-24,0.72
86,0.005,0.95,0.01,0.9,0.01,5000.0,100.0,3373.0,0.6746,1.6313501853428272e-231,0.64
87,0.005,0.9,0.01,0.995,0.01,5000.0,100.0,1707.0,0.3414,1.3043787909937146e-13,0.74
88,0.005,0.9,0.01,0.99,0.01,5000.0,100.0,3112.0,0.6224,1.4995915609979539e-24,0.67
89,0.005,0.9,0.01,0.9,0.01,5000.0,100.0,3330.0,0.666,1.6313501853428272e-231,0.75
