,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
0,0.3,0.9999,0.01,0.995,0.01,5000.0,100.0,3055.0,0.611,1.3043787909937146e-13,0.6
1,0.3,0.9999,0.01,0.99,0.01,5000.0,100.0,1402.0,0.2804,1.4995915609979539e-24,0.38
2,0.3,0.9999,0.01,0.9,0.01,5000.0,100.0,1397.0,0.2794,1.6313501853428272e-231,0.54
3,0.3,0.99,0.01,0.995,0.01,5000.0,100.0,2935.0,0.587,1.3043787909937146e-13,0.73
4,0.3,0.99,0.01,0.99,0.01,5000.0,100.0,3076.0,0.6152,1.4995915609979539e-24,0.46
5,0.3,0.99,0.01,0.9,0.01,5000.0,100.0,3221.0,0.6442,1.6313501853428272e-231,0.6
6,0.3,0.97,0.01,0.995,0.01,5000.0,100.0,2757.0,0.5514,1.3043787909937146e-13,0.61
7,0.3,0.97,0.01,0.99,0.01,5000.0,100.0,3029.0,0.6058,1.4995915609979539e-24,0.62
8,0.3,0.97,0.01,0.9,0.01,5000.0,100.0,3091.0,0.6182,1.6313501853428272e-231,0.64
9,0.3,0.95,0.01,0.995,0.01,5000.0,100.0,2544.0,0.5088,1.3043787909937146e-13,0.44
10,0.3,0.95,0.01,0.99,0.01,5000.0,100.0,2638.0,0.5276,1.4995915609979539e-24,0.5
11,0.3,0.95,0.01,0.9,0.01,5000.0,100.0,2842.0,0.5684,1.6313501853428272e-231,0.55
12,0.3,0.9,0.01,0.995,0.01,5000.0,100.0,1948.0,0.3896,1.3043787909937146e-13,0.44
13,0.3,0.9,0.01,0.99,0.01,5000.0,100.0,1976.0,0.3952,1.4995915609979539e-24,0.4
14,0.3,0.9,0.01,0.9,0.01,5000.0,100.0,1994.0,0.3988,1.6313501853428272e-231,0.64
15,0.2,0.9999,0.01,0.995,0.01,5000.0,100.0,1816.0,0.3632,1.3043787909937146e-13,0.47
16,0.2,0.9999,0.01,0.99,0.01,5000.0,100.0,1488.0,0.2976,1.4995915609979539e-24,0.3
17,0.2,0.9999,0.01,0.9,0.01,5000.0,100.0,1822.0,0.3644,1.6313501853428272e-231,0.07
18,0.2,0.99,0.01,0.995,0.01,5000.0,100.0,3051.0,0.6102,1.3043787909937146e-13,0.7
19,0.2,0.99,0.01,0.99,0.01,5000.0,100.0,3157.0,0.6314,1.4995915609979539e-24,0.68
20,0.2,0.99,0.01,0.9,0.01,5000.0,100.0,3331.0,0.6662,1.6313501853428272e-231,0.66
21,0.2,0.97,0.01,0.995,0.01,5000.0,100.0,2889.0,0.5778,1.3043787909937146e-13,0.61
22,0.2,0.97,0.01,0.99,0.01,5000.0,100.0,3069.0,0.6138,1.4995915609979539e-24,0.51
23,0.2,0.97,0.01,0.9,0.01,5000.0,100.0,3157.0,0.6314,1.6313501853428272e-231,0.75
24,0.2,0.95,0.01,0.995,0.01,5000.0,100.0,2611.0,0.5222,1.3043787909937146e-13,0.67
25,0.2,0.95,0.01,0.99,0.01,5000.0,100.0,2871.0,0.5742,1.4995915609979539e-24,0.73
26,0.2,0.95,0.01,0.9,0.01,5000.0,100.0,2978.0,0.5956,1.6313501853428272e-231,0.56
27,0.2,0.9,0.01,0.995,0.01,5000.0,100.0,2073.0,0.4146,1.3043787909937146e-13,0.38
28,0.2,0.9,0.01,0.99,0.01,5000.0,100.0,1985.0,0.397,1.4995915609979539e-24,0.17
29,0.2,0.9,0.01,0.9,0.01,5000.0,100.0,2358.0,0.4716,1.6313501853428272e-231,0.41
30,0.1,0.9999,0.01,0.995,0.01,5000.0,100.0,3114.0,0.6228,1.3043787909937146e-13,0.75
31,0.1,0.9999,0.01,0.99,0.01,5000.0,100.0,2945.0,0.589,1.4995915609979539e-24,0.63
32,0.1,0.9999,0.01,0.9,0.01,5000.0,100.0,2110.0,0.422,1.6313501853428272e-231,0.49
33,0.1,0.99,0.01,0.995,0.01,5000.0,100.0,3068.0,0.6136,1.3043787909937146e-13,0.65
34,0.1,0.99,0.01,0.99,0.01,5000.0,100.0,3226.0,0.6452,1.4995915609979539e-24,0.73
35,0.1,0.99,0.01,0.9,0.01,5000.0,100.0,3393.0,0.6786,1.6313501853428272e-231,0.58
36,0.1,0.97,0.01,0.995,0.01,5000.0,100.0,3004.0,0.6008,1.3043787909937146e-13,0.7
37,0.1,0.97,0.01,0.99,0.01,5000.0,100.0,3151.0,0.6302,1.4995915609979539e-24,0.69
38,0.1,0.97,0.01,0.9,0.01,5000.0,100.0,3262.0,0.6524,1.6313501853428272e-231,0.69
39,0.1,0.95,0.01,0.995,0.01,5000.0,100.0,2774.0,0.5548,1.3043787909937146e-13,0.59
40,0.1,0.95,0.01,0.99,0.01,5000.0,100.0,3019.0,0.6038,1.4995915609979539e-24,0.7
41,0.1,0.95,0.01,0.9,0.01,5000.0,100.0,3035.0,0.607,1.6313501853428272e-231,0.71
42,0.1,0.9,0.01,0.995,0.01,5000.0,100.0,2135.0,0.427,1.3043787909937146e-13,0.41
43,0.1,0.9,0.01,0.99,0.01,5000.0,100.0,2349.0,0.4698,1.4995915609979539e-24,0.39
44,0.1,0.9,0.01,0.9,0.01,5000.0,100.0,2374.0,0.4748,1.6313501853428272e-231,0.4
45,0.05,0.9999,0.01,0.995,0.01,5000.0,100.0,3158.0,0.6316,1.3043787909937146e-13,0.68
46,0.05,0.9999,0.01,0.99,0.01,5000.0,100.0,3298.0,0.6596,1.4995915609979539e-24,0.71
47,0.05,0.9999,0.01,0.9,0.01,5000.0,100.0,3345.0,0.669,1.6313501853428272e-231,0.7
48,0.05,0.99,0.01,0.995,0.01,5000.0,100.0,3188.0,0.6376,1.3043787909937146e-13,0.68
49,0.05,0.99,0.01,0.99,0.01,5000.0,100.0,3308.0,0.6616,1.4995915609979539e-24,0.71
50,0.05,0.99,0.01,0.9,0.01,5000.0,100.0,3437.0,0.6874,1.6313501853428272e-231,0.61
51,0.05,0.97,0.01,0.995,0.01,5000.0,100.0,3097.0,0.6194,1.3043787909937146e-13,0.7
52,0.05,0.97,0.01,0.99,0.01,5000.0,100.0,3234.0,0.6468,1.4995915609979539e-24,0.64
