,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
0,0.3,0.9999,0.01,0.995,0.01,5000.0,100.0,4547.0,0.9094,1.3043787909937146e-13,0.98
1,0.3,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
2,0.3,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
3,0.3,0.99,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
4,0.3,0.99,0.01,0.99,0.01,5000.0,100.0,4640.0,0.928,1.4995915609979539e-24,0.98
5,0.3,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
6,0.3,0.97,0.01,0.995,0.01,5000.0,100.0,4489.0,0.8978,1.3043787909937146e-13,0.91
7,0.3,0.97,0.01,0.99,0.01,5000.0,100.0,4647.0,0.9294,1.4995915609979539e-24,0.99
8,0.3,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
9,0.3,0.95,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
10,0.3,0.95,0.01,0.99,0.01,5000.0,100.0,4381.0,0.8762,1.4995915609979539e-24,0.95
11,0.3,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
12,0.3,0.9,0.01,0.995,0.01,5000.0,100.0,4493.0,0.8986,1.3043787909937146e-13,0.99
13,0.3,0.9,0.01,0.99,0.01,5000.0,100.0,4690.0,0.938,1.4995915609979539e-24,0.98
14,0.3,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
15,0.2,0.9999,0.01,0.995,0.01,5000.0,100.0,4561.0,0.9122,1.3043787909937146e-13,0.93
16,0.2,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
17,0.2,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
18,0.2,0.99,0.01,0.995,0.01,5000.0,100.0,4502.0,0.9004,1.3043787909937146e-13,0.97
19,0.2,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
20,0.2,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
21,0.2,0.97,0.01,0.995,0.01,5000.0,100.0,4572.0,0.9144,1.3043787909937146e-13,0.98
22,0.2,0.97,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
23,0.2,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
24,0.2,0.95,0.01,0.995,0.01,5000.0,100.0,4353.0,0.8706,1.3043787909937146e-13,0.93
25,0.2,0.95,0.01,0.99,0.01,5000.0,100.0,4483.0,0.8966,1.4995915609979539e-24,1.0
26,0.2,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
27,0.2,0.9,0.01,0.995,0.01,5000.0,100.0,4552.0,0.9104,1.3043787909937146e-13,0.98
28,0.2,0.9,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
29,0.2,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
30,0.1,0.9999,0.01,0.995,0.01,5000.0,100.0,4445.0,0.889,1.3043787909937146e-13,0.97
31,0.1,0.9999,0.01,0.99,0.01,5000.0,100.0,4561.0,0.9122,1.4995915609979539e-24,0.97
32,0.1,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
33,0.1,0.99,0.01,0.995,0.01,5000.0,100.0,4304.0,0.8608,1.3043787909937146e-13,0.97
34,0.1,0.99,0.01,0.99,0.01,5000.0,100.0,4648.0,0.9296,1.4995915609979539e-24,0.97
35,0.1,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
36,0.1,0.97,0.01,0.995,0.01,5000.0,100.0,4436.0,0.8872,1.3043787909937146e-13,0.99
37,0.1,0.97,0.01,0.99,0.01,5000.0,100.0,4586.0,0.9172,1.4995915609979539e-24,0.98
38,0.1,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
39,0.1,0.95,0.01,0.995,0.01,5000.0,100.0,4435.0,0.887,1.3043787909937146e-13,0.95
40,0.1,0.95,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
41,0.1,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
42,0.1,0.9,0.01,0.995,0.01,5000.0,100.0,4573.0,0.9146,1.3043787909937146e-13,0.99
43,0.1,0.9,0.01,0.99,0.01,5000.0,100.0,4444.0,0.8888,1.4995915609979539e-24,0.96
44,0.1,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
45,0.05,0.9999,0.01,0.995,0.01,5000.0,100.0,4444.0,0.8888,1.3043787909937146e-13,0.98
46,0.05,0.9999,0.01,0.99,0.01,5000.0,100.0,4574.0,0.9148,1.4995915609979539e-24,0.95
47,0.05,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
48,0.05,0.99,0.01,0.995,0.01,5000.0,100.0,4411.0,0.8822,1.3043787909937146e-13,0.98
49,0.05,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
50,0.05,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
51,0.05,0.97,0.01,0.995,0.01,5000.0,100.0,4227.0,0.8454,1.3043787909937146e-13,0.94
52,0.05,0.97,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
53,0.05,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
54,0.05,0.95,0.01,0.995,0.01,5000.0,100.0,4533.0,0.9066,1.3043787909937146e-13,0.96
55,0.05,0.95,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
56,0.05,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
57,0.05,0.9,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
58,0.05,0.9,0.01,0.99,0.01,5000.0,100.0,4524.0,0.9048,1.4995915609979539e-24,0.96
59,0.05,0.9,0.01,0.9,0.01,5000.0,100.0,2.0,0.0004,1.6313501853428272e-231,0.0
60,0.01,0.9999,0.01,0.995,0.01,5000.0,100.0,4317.0,0.8634,1.3043787909937146e-13,0.95
61,0.01,0.9999,0.01,0.99,0.01,5000.0,100.0,4404.0,0.8808,1.4995915609979539e-24,0.97
62,0.01,0.9999,0.01,0.9,0.01,5000.0,100.0,2430.0,0.486,1.6313501853428272e-231,0.98
63,0.01,0.99,0.01,0.995,0.01,5000.0,100.0,4571.0,0.9142,1.3043787909937146e-13,1.0
64,0.01,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
65,0.01,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
66,0.01,0.97,0.01,0.995,0.01,5000.0,100.0,4348.0,0.8696,1.3043787909937146e-13,0.96
67,0.01,0.97,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
68,0.01,0.97,0.01,0.9,0.01,5000.0,100.0,1.0,0.0002,1.6313501853428272e-231,0.0
69,0.01,0.95,0.01,0.995,0.01,5000.0,100.0,4132.0,0.8264,1.3043787909937146e-13,0.97
70,0.01,0.95,0.01,0.99,0.01,5000.0,100.0,4538.0,0.9076,1.4995915609979539e-24,0.98
71,0.01,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
72,0.01,0.9,0.01,0.995,0.01,5000.0,100.0,4503.0,0.9006,1.3043787909937146e-13,0.99
73,0.01,0.9,0.01,0.99,0.01,5000.0,100.0,4084.0,0.8168,1.4995915609979539e-24,0.95
74,0.01,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
75,0.005,0.9999,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
76,0.005,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
77,0.005,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
78,0.005,0.99,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
79,0.005,0.99,0.01,0.99,0.01,5000.0,100.0,4553.0,0.9106,1.4995915609979539e-24,0.93
80,0.005,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
81,0.005,0.97,0.01,0.995,0.01,5000.0,100.0,4339.0,0.8678,1.3043787909937146e-13,0.96
82,0.005,0.97,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
83,0.005,0.97,0.01,0.9,0.01,5000.0,100.0,1.0,0.0002,1.6313501853428272e-231,0.0
84,0.005,0.95,0.01,0.995,0.01,5000.0,100.0,4252.0,0.8504,1.3043787909937146e-13,0.95
85,0.005,0.95,0.01,0.99,0.01,5000.0,100.0,3601.0,0.7202,1.4995915609979539e-24,0.94
86,0.005,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
87,0.005,0.9,0.01,0.995,0.01,5000.0,100.0,4321.0,0.8642,1.3043787909937146e-13,0.98
88,0.005,0.9,0.01,0.99,0.01,5000.0,100.0,966.0,0.1932,1.4995915609979539e-24,0.9
89,0.005,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
